"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff","overlap0","f"
"BB[125,1]",-4.45729255014881,3.86059704122061,-12.0997708483152,-7.05095806974474,-4.41742435058829,-1.8757665461491,3.0985008928601,1.00045744003518,4382,1,0.879733333333333
"BB[126,1]",-4.72038619594436,3.63374468547739,-11.9423209975272,-7.12238988984436,-4.71339153864058,-2.27822317954056,2.3570618271091,1.00034484852819,10590,1,0.901466666666667
"BB[127,1]",-8.4402756877083,3.57584868285388,-15.5924363819677,-10.8176305258457,-8.35716483277195,-6.02259540672985,-1.64402240135525,1.00056828014023,3874,0,0.9914
"BB[128,1]",-8.75926713339615,3.65436070344755,-16.202160286904,-11.1678390377052,-8.68280230233089,-6.30084495202437,-1.74448456414165,1.0002489447658,6883,0,0.991866666666667
"BB[129,1]",-7.71141621176925,3.7153655492465,-15.0910500467626,-10.1405811469122,-7.71846232328727,-5.2395298069207,-0.535112303138753,1.00005072120567,15000,0,0.9824
"BB[130,1]",-7.15880823067641,3.49829681788916,-14.12460954632,-9.46975697972793,-7.16228208112901,-4.81991733546772,-0.317183495625063,1.0004587629219,12470,0,0.980066666666667
"BB[131,1]",-7.05496115735369,3.81458026774072,-14.5172188036572,-9.63357786339045,-7.04903181486052,-4.5415640901404,0.522680642520182,1.00011132951415,15000,1,0.9656
"BB[132,1]",-7.65397061130302,3.86172197181566,-15.3501219537323,-10.2320400407669,-7.59292442521361,-5.05460260856699,-0.1909823710114,1.00007602652823,15000,0,0.9778
"BB[133,1]",-5.17661058381727,3.30228862197936,-11.7391019241691,-7.40842369150665,-5.18659321599936,-2.96173116334929,1.33411112291269,1.00008825537894,15000,1,0.9416
"BB[134,1]",-6.10635771709015,4.21152088336304,-14.511830720838,-8.84864404468261,-6.18114438642818,-3.33864033417371,2.22995103640577,1.00057062221718,15000,1,0.927066666666667
"BB[135,1]",-6.66982285173439,3.87441827295925,-14.2958844861587,-9.19746434685854,-6.67998439474381,-4.13148029333463,0.983420134840025,1.00057904631465,6818,1,0.957133333333333
"BB[136,1]",-7.79103571185784,3.72313853397606,-15.2256596706768,-10.2325771610912,-7.75418319422348,-5.31603823381226,-0.588163294559415,1.00068156305072,2677,0,0.982533333333333
"BB[137,1]",-5.75177967714491,3.7188661381695,-13.2345419911996,-8.17802819107712,-5.71972155272795,-3.29449835246876,1.48011420338092,1.00021928231204,15000,1,0.939333333333333
"BB[138,1]",-5.6873468647577,3.55796349087511,-12.6912768355797,-8.06978931419391,-5.69272929788422,-3.29527571341242,1.40956473889749,1.00034144445536,6740,1,0.945066666666667
"BB[139,1]",-7.47484064700267,3.87753539597603,-15.0692815379,-9.99907812440929,-7.45344233478437,-4.93758978499911,0.16041124112629,1.00035123676173,15000,1,0.9722
"BB[140,1]",-7.22659057354703,3.83063699766695,-14.8545005702472,-9.73657027782,-7.25259543263678,-4.66831012721054,0.341352045799455,1.00054083797881,6888,1,0.9704
"BB[141,1]",-7.32197657389798,3.60592792059149,-14.4855333693705,-9.68609245170699,-7.29925427048509,-4.89728642201793,-0.310837799084517,0.999960296816734,15000,0,0.979666666666667
"BB[142,1]",-7.83651387715012,3.88402683483088,-15.5614370445419,-10.4020476629861,-7.79710663504983,-5.20038549292859,-0.26107776890711,1.00073059545225,3437,0,0.978333333333333
"BB[143,1]",-5.45427383806639,3.35124387089418,-12.0811430988945,-7.68301663974419,-5.45767049390172,-3.23934351069904,1.18040757187146,0.999961191950878,15000,1,0.946666666666667
"BB[144,1]",-3.83211406734817,3.86560827448895,-11.3822604080558,-6.35873852292347,-3.86100681346042,-1.29468537324828,3.81527541351331,1.00006455535678,15000,1,0.8424
"BB[145,1]",-7.26650957727598,3.40275109901567,-13.974996692767,-9.52482364924922,-7.23893466651775,-5.02312989982317,-0.593643701698487,1.00025631750831,8801,0,0.9838
"BB[146,1]",-3.40938280681339,3.49253802004744,-10.2271360917218,-5.74806352566997,-3.44296153251123,-1.06482503536226,3.58439212893056,1.00023341699703,15000,1,0.837066666666667
